"fno","id","sia","ala","k","ob","gh","pe","coord","neighpe"
19,296,4,1,4,2,2,-3.16527,53,-557.309
1,297,4,3,4,6,2,-4.81699,48,-504.303
3,297,3,3,3,6,3,-3.83799,49,-515.115
4,297,3,3,3,6,3,-4.72994,50,-509.351
5,297,5,3,5,6,1,-4.24558,49,-512.627
6,297,4,2,4,4,2,-3.81579,49,-529.788
9,297,4,3,4,6,2,-4.53708,45,-492.15
10,297,5,3,5,6,1,-3.70996,51,-528.959
13,297,2,3,2,5,4,-5.27047,49,-496.208
14,297,5,1,5,2,1,-2.88382,53,-571.867
15,297,4,3,4,5,2,-4.64673,48,-507.645
16,297,3,3,3,6,3,-4.73566,48,-506.624
17,297,6,3,6,6,0,-4.65307,49,-515.766
19,297,3,2,3,4,3,-4.17002,51,-528.542
20,297,4,1,4,2,2,-4.0913,51,-551.808
1,298,4,3,4,6,2,-3.65363,50,-516.195
2,298,3,2,3,4,3,-3.90646,53,-540.875
3,298,3,3,3,6,3,-4.88631,52,-521.206
4,298,6,2,6,4,0,-3.26051,52,-558.269
6,298,3,3,3,6,3,-4.61706,48,-509.251
8,298,5,1,5,2,1,-3.22646,52,-562.307
9,298,4,3,4,6,2,-4.09853,50,-515.589
12,298,5,2,5,4,1,-3.71474,55,-587.504
13,298,4,3,4,6,2,-3.36403,50,-537.445
16,298,5,2,5,4,1,-3.37448,51,-546.46
17,298,4,0,4,0,2,-2.84703,55,-590.988
18,298,3,2,3,4,3,-3.74295,49,-527.327
19,298,4,3,4,6,2,-4.26364,48,-513.734
20,298,5,2,5,4,1,-3.53229,51,-547.506
1,299,4,2,4,4,2,-4.24994,52,-537.2
2,299,3,3,3,6,3,-4.29533,51,-517.788
3,299,5,3,5,6,1,-4.09062,50,-520.24
4,299,5,3,5,6,1,-3.94853,52,-533.004
6,299,3,2,3,4,3,-4.31321,52,-533.622
7,299,5,3,5,5,1,-4.07704,49,-509.344
8,299,2,3,2,6,4,-4.26683,49,-500.103
10,299,2,3,2,6,4,-5.11858,52,-515.376
12,299,4,3,4,6,2,-3.4693,50,-518.676
13,299,6,3,6,6,0,-3.85577,49,-513.207
15,299,3,3,3,6,3,-4.54715,50,-510.185
16,299,6,2,6,4,0,-3.63095,52,-548.936
17,299,3,3,3,6,3,-4.74038,49,-504.123
18,299,3,2,3,4,3,-4.00579,53,-552.532
19,299,2,2,2,4,4,-3.67538,52,-533.96
20,299,4,3,4,6,2,-4.13177,50,-516.182
2,300,5,1,5,2,1,-3.57984,52,-560.468
3,300,5,3,5,6,1,-3.57973,47,-511.274
5,300,4,2,4,4,2,-4.00373,53,-566.222
6,300,4,3,4,6,2,-4.02108,50,-522.596
10,300,5,3,5,6,1,-3.77803,49,-525.015
11,300,4,3,4,6,2,-4.31278,50,-521.926
12,300,3,3,3,6,3,-4.7581,50,-511.426
14,300,6,2,6,4,0,-3.18797,51,-540.161
17,300,6,3,6,6,0,-4.75133,50,-533.844
18,300,5,3,5,6,1,-4.61565,48,-517.16
20,300,4,2,4,4,2,-4.29806,50,-529.976
1,301,5,1,5,2,1,-3.65204,53,-559.672
2,301,5,3,5,6,1,-4.06712,50,-520.003
3,301,6,3,6,6,0,-4.29319,49,-517.866
5,301,5,2,5,4,1,-3.71771,51,-534.913
6,301,6,1,6,2,0,-3.23461,53,-564.08
8,301,3,1,3,2,3,-4.37202,53,-549.646
9,301,3,3,3,6,3,-4.79578,51,-514.287
10,301,6,1,6,2,0,-2.73425,53,-566.841
11,301,5,3,5,6,1,-4.03419,50,-519.926
13,301,3,1,3,2,3,-4.01591,54,-556.692
14,301,4,2,4,4,2,-3.69483,53,-545.286
15,301,3,2,3,4,3,-3.96977,54,-552.515
16,301,5,3,5,6,1,-4.03489,51,-526.707
17,301,2,1,2,2,4,-3.46326,54,-558.122
18,301,4,1,4,2,2,-3.80005,55,-567.7
19,301,4,2,4,4,2,-4.62845,51,-529.194
20,301,3,2,3,4,3,-4.24241,51,-526.883
3,302,6,3,6,6,0,-4.23687,50,-525.86
5,302,4,3,4,6,2,-3.98471,51,-522.584
6,302,6,2,6,4,0,-3.47385,52,-547.958
7,302,3,3,3,6,3,-4.20038,50,-510.468
8,302,4,2,4,4,2,-4.60413,52,-537.45
9,302,5,2,5,4,1,-4.44783,52,-540.601
10,302,5,1,5,2,1,-2.83259,55,-579.145
11,302,5,2,5,4,1,-3.72894,51,-535.483
13,302,5,2,5,4,1,-3.9285,53,-551.226
14,302,3,1,3,2,3,-3.50546,54,-559.153
17,302,2,3,2,6,4,-3.80516,52,-522.625
18,302,4,1,4,2,2,-3.79328,55,-569.021
19,302,5,2,5,4,1,-4.53831,51,-536.083
20,302,3,2,3,4,3,-4.28538,52,-534.666
1,303,4,3,4,6,2,-3.89749,47,-506.213
4,303,5,2,5,4,1,-3.4549,51,-545.888
5,303,4,3,4,6,2,-4.15858,50,-523.028
8,303,4,2,4,4,2,-3.57484,50,-538.198
10,303,3,2,3,4,3,-4.51499,50,-530.652
11,303,4,3,4,6,2,-4.03293,51,-523.251
12,303,5,2,5,4,1,-3.78736,54,-582.273
13,303,5,2,5,4,1,-3.00291,53,-555.133
14,303,4,3,4,6,2,-4.81508,49,-506.538
15,303,5,2,5,4,1,-3.61006,52,-561.775
17,303,4,1,4,2,2,-3.05786,54,-579.216
18,303,4,2,4,4,2,-3.58289,52,-541.349
19,303,4,2,4,4,2,-3.94431,52,-540.696
20,303,5,3,5,6,1,-3.84046,50,-520.656
2,304,6,3,6,6,0,-3.91894,49,-527.63
3,304,3,2,3,4,3,-3.56432,49,-528.187
4,304,3,3,3,6,3,-4.8259,50,-508.782
5,304,4,1,4,2,2,-3.66666,51,-553.56
8,304,5,3,5,6,1,-4.58815,50,-519.075
9,304,4,2,4,4,2,-4.26133,52,-561.085
10,304,5,3,5,6,1,-3.78241,50,-532.29
11,304,4,2,4,4,2,-4.13408,51,-532.188
14,304,4,2,4,4,2,-3.4077,52,-541.883
15,304,4,2,4,4,2,-4.56516,51,-531.994
17,304,5,3,5,6,1,-4.70622,49,-513.203
18,304,4,2,4,4,2,-4.42475,49,-529.563
19,304,5,2,5,4,1,-4.15524,50,-542.701
20,304,3,2,3,4,3,-4.2877,50,-530.589
1,305,4,3,4,6,2,-4.70972,50,-514.61
2,305,6,3,6,6,0,-4.02305,49,-515.67
5,305,5,2,5,4,1,-3.95963,50,-540.195
7,305,3,3,3,6,3,-4.83438,48,-501.011
8,305,6,3,6,6,0,-4.24628,47,-513.279
10,305,5,3,5,6,1,-3.88337,50,-519.713
11,305,5,2,5,4,1,-4.01051,52,-542.817
12,305,3,1,3,2,3,-4.12427,51,-548.888
13,305,2,2,2,4,4,-5.03,47,-504.049
15,305,6,3,6,6,0,-4.53642,48,-518.125
18,305,3,3,3,6,3,-4.76531,48,-508.009
19,305,4,1,4,2,2,-3.74816,54,-562.628
20,305,4,2,4,4,2,-4.24346,52,-537.526
1,306,2,2,2,4,4,-4.72647,49,-519.644
2,306,6,3,6,6,0,-3.87864,51,-530.981
8,306,6,3,6,6,0,-4.4381,49,-518.662
9,306,5,1,5,2,1,-3.72389,52,-562.048
10,306,4,3,4,6,2,-3.82438,51,-524.779
11,306,5,2,5,4,1,-3.93928,50,-540.749
13,306,4,2,4,4,2,-4.79396,51,-527.779
