"fno","id","sia","ala","k","ob","gh","pe","coord","neighpe"
6,324,4,1,4,2,2,-3.46982,51,-553.953
7,324,4,2,4,4,2,-4.37475,51,-536.552
8,324,5,3,5,6,1,-4.46751,49,-511.757
10,324,5,2,5,4,1,-3.64987,51,-536.738
11,324,5,3,5,6,1,-4.28592,49,-511.439
15,324,4,2,4,4,2,-4.42387,51,-531.119
17,324,5,3,5,5,1,-4.79829,48,-502.936
20,324,4,2,4,4,2,-4.39414,52,-535.926
1,325,2,1,2,2,4,-3.94672,56,-566.195
6,325,4,2,4,4,2,-4.21838,51,-529.964
7,325,5,2,5,4,1,-4.06718,52,-544.313
8,325,3,2,3,4,3,-3.61279,54,-551.902
9,325,3,1,3,2,3,-3.20226,53,-555.14
10,325,2,1,2,2,4,-4.71664,53,-543.685
11,325,5,1,5,2,1,-3.50812,54,-566.083
12,325,4,2,4,4,2,-3.03035,52,-542.513
13,325,5,2,5,4,1,-3.88582,51,-538.658
14,325,5,3,5,6,1,-4.50009,50,-519.426
15,325,5,2,5,4,1,-4.04002,51,-536.224
16,325,5,1,5,2,1,-3.54022,53,-561.365
18,325,4,3,4,6,2,-4.02084,51,-531.229
19,325,3,2,3,3,3,-3.43405,51,-528.519
20,325,4,1,4,2,2,-3.60192,53,-557.492
3,326,4,2,4,4,2,-4.57597,50,-535.243
4,326,5,2,5,4,1,-3.4231,51,-537.82
5,326,4,3,4,6,2,-4.18171,48,-504.994
6,326,3,3,3,6,3,-4.64289,50,-523.166
7,326,3,3,3,6,3,-3.98322,50,-512.611
8,326,6,2,6,4,0,-3.15959,52,-548.839
9,326,5,1,5,2,1,-3.49427,53,-560.912
10,326,2,2,2,4,4,-4.49009,50,-525.27
12,326,6,2,6,4,0,-3.67918,55,-580.45
13,326,6,2,6,4,0,-2.97073,49,-539.805
14,326,4,3,4,6,2,-4.70818,50,-512.413
15,326,4,1,4,2,2,-3.2683,55,-582.889
16,326,4,3,4,6,2,-3.7502,51,-525.999
20,326,5,2,5,4,1,-3.60033,50,-538.975
1,327,5,0,5,0,1,-3.56723,55,-582.033
2,327,3,3,3,6,3,-4.35427,50,-511.238
3,327,4,1,4,2,2,-3.57905,53,-557.365
4,327,4,2,4,4,2,-4.00232,52,-539.283
5,327,2,3,2,6,4,-4.47597,52,-519.73
7,327,5,3,5,6,1,-3.99955,50,-518.981
8,327,3,2,3,4,3,-3.86973,51,-528.343
11,327,2,0,2,0,4,-3.50248,57,-585.627
12,327,4,2,4,4,2,-3.35292,51,-536.096
13,327,5,3,5,6,1,-4.03996,49,-512.12
14,327,3,3,3,6,3,-4.6364,49,-502.738
15,327,4,3,4,6,2,-4.25828,51,-521.385
16,327,6,2,6,4,0,-3.66667,51,-540.371
20,327,5,2,5,4,1,-3.71757,52,-543.109
1,328,5,2,5,4,1,-3.92464,53,-549.112
3,328,5,2,5,4,1,-3.89833,56,-580.042
6,328,4,1,4,2,2,-4.07036,53,-554.807
7,328,6,2,6,4,0,-3.70849,52,-546.376
9,328,4,3,4,6,2,-3.58868,50,-517.878
11,328,4,1,4,2,2,-3.69081,55,-569.433
13,328,5,3,5,6,1,-4.11972,49,-513.181
14,328,4,2,4,4,2,-4.16095,51,-530.203
15,328,5,2,5,4,1,-4.24208,51,-535.355
16,328,6,2,6,4,0,-3.6429,52,-548.595
17,328,3,3,3,6,3,-4.69055,49,-502.886
20,328,3,3,3,6,3,-4.23313,53,-539.909
1,329,4,3,4,6,2,-3.79023,47,-507.428
2,329,3,2,3,4,3,-4.16406,50,-526.98
3,329,3,0,3,0,3,-4.08705,54,-571.71
4,329,4,1,4,2,2,-3.26199,52,-558.582
5,329,5,1,5,2,1,-3.63752,54,-567.017
7,329,5,3,5,6,1,-3.98442,49,-512.707
8,329,4,3,4,6,2,-3.69271,48,-512.644
9,329,5,2,5,4,1,-3.60564,50,-542.544
11,329,4,2,4,4,2,-3.88776,49,-530.548
12,329,5,1,5,2,1,-3.45289,56,-600.736
13,329,5,1,5,2,1,-2.82388,53,-572.653
14,329,4,3,4,6,2,-4.95306,48,-503.537
15,329,6,2,6,4,0,-3.49312,53,-571.976
16,329,5,2,5,4,1,-3.5146,52,-566.028
17,329,4,1,4,2,2,-3.1157,55,-572.991
1,330,4,2,4,4,2,-3.73226,52,-537.716
2,330,4,3,4,6,2,-4.1325,49,-507.58
3,330,6,2,6,4,0,-4.00248,51,-542.619
4,330,3,1,3,2,3,-3.64213,54,-560.492
5,330,5,2,5,4,1,-3.74796,52,-543.411
6,330,6,2,6,4,0,-3.38737,51,-540.469
7,330,4,3,4,6,2,-4.04387,51,-523.262
10,330,5,2,5,4,1,-3.10847,53,-560.099
11,330,5,2,5,4,1,-3.7419,52,-543.494
12,330,3,2,3,4,3,-4.9098,52,-530.272
13,330,4,1,4,2,2,-3.93797,53,-555.768
16,330,5,2,5,4,1,-3.92459,52,-542.278
19,330,4,2,4,4,2,-4.72555,52,-544.812
1,331,4,3,4,6,2,-3.79967,49,-508.951
3,331,3,2,3,4,3,-4.53804,51,-532.796
4,331,5,2,5,4,1,-3.34418,52,-553.099
5,331,4,2,4,4,2,-3.98118,52,-539.135
6,331,4,3,4,6,2,-4.47225,49,-508.231
7,331,4,3,4,6,2,-3.8069,52,-539.878
8,331,5,2,5,4,1,-3.32987,52,-544.617
9,331,5,2,5,4,1,-3.78367,51,-546.016
11,331,3,3,3,6,3,-4.32642,46,-494.897
12,331,5,1,5,2,1,-3.50271,53,-573.94
13,331,4,3,4,6,2,-3.47975,50,-530.901
14,331,3,3,3,6,3,-4.96068,47,-498.708
15,331,3,1,3,2,3,-3.31966,54,-571.746
16,331,5,2,5,4,1,-3.52431,52,-545.675
17,331,3,1,3,2,3,-3.08876,55,-570.828
18,331,3,3,3,6,3,-4.04195,48,-508.28
19,331,3,2,3,4,3,-4.22394,49,-526.295
20,331,4,3,4,6,2,-4.02597,51,-542.491
1,332,5,2,5,4,1,-3.81514,51,-535.508
2,332,5,3,5,6,1,-4.17945,50,-519.476
3,332,6,2,6,4,0,-3.96212,52,-556.961
4,332,4,2,4,4,2,-4.10266,53,-547.699
5,332,6,2,6,4,0,-3.71006,52,-547.564
6,332,6,2,6,4,0,-3.51463,51,-540.141
8,332,2,2,2,4,4,-4.75072,54,-560.315
10,332,5,2,5,4,1,-3.22286,52,-545.29
14,332,4,3,4,6,2,-4.03341,51,-522.981
15,332,4,1,4,2,2,-3.42223,55,-573.496
16,332,6,3,6,6,0,-4.11953,50,-523.619
17,332,2,0,2,0,4,-3.22061,56,-581.161
18,332,4,2,4,4,2,-4.04859,53,-543.62
20,332,3,2,3,4,3,-4.30157,51,-526.504
3,333,6,2,6,4,0,-3.92393,51,-542.561
4,333,4,1,4,2,2,-3.745,54,-562.98
5,333,5,2,5,4,1,-3.81833,51,-536.814
6,333,5,3,5,6,1,-3.76914,51,-527.215
7,333,4,2,4,4,2,-3.79499,52,-539.635
8,333,4,2,4,4,2,-4.52233,54,-562.001
9,333,3,1,3,2,3,-4.4182,53,-548.917
10,333,6,2,6,4,0,-3.02447,53,-558.456
11,333,3,1,3,2,3,-3.55154,53,-551.998
12,333,3,2,3,4,3,-4.99905,51,-524.145
13,333,4,2,4,4,2,-4.09266,55,-569.448
14,333,3,2,3,4,3,-4.20124,51,-528.68
15,333,4,2,4,4,2,-3.66627,52,-540.783
16,333,3,2,3,3,3,-4.21079,50,-516.241
19,333,4,3,4,6,2,-4.80305,50,-513.978
20,333,3,2,3,4,3,-4.34796,53,-539.756
2,334,4,2,4,4,2,-3.95806,51,-530.831
4,334,5,3,5,6,1,-3.57179,51,-546.293
6,334,3,3,3,6,3,-4.52991,49,-508.546
7,334,4,2,4,4,2,-3.7305,49,-530.63
9,334,5,3,5,6,1,-4.09365,49,-513.123
10,334,3,1,3,2,3,-4.13432,55,-565.744
11,334,4,3,4,6,2,-4.11248,48,-513.393
12,334,6,1,6,2,0,-3.3233,53,-578.672
15,334,5,1,5,2,1,-3.22843,53,-562.789
16,334,4,0,4,0,2,-2.88867,55,-591.99
18,334,5,3,5,6,1,-3.80615,49,-518.188
19,334,4,3,4,6,2,-4.18234,51,-522.737
20,334,5,3,5,6,1,-3.91092,49,-512.945
1,335,3,2,3,4,3,-3.94648,53,-550.491
2,335,3,1,3,2,3,-3.73599,53,-552.374
3,335,6,3,6,6,0,-4.13037,51,-532.382
4,335,4,2,4,4,2,-4.0098,53,-546.373
5,335,5,3,5,6,1,-3.85555,50,-520.389
6,335,5,2,5,4,1,-3.6055,53,-550.99
9,335,4,3,4,6,2,-4.77559,51,-518.634
10,335,5,2,5,4,1,-3.10722,52,-547.145
11,335,4,2,4,4,2,-3.84945,51,-531.432
12,335,3,2,3,4,3,-5.00665,51,-523.824
15,335,5,0,5,0,1,-3.23708,57,-598.737
16,335,3,2,3,4,3,-4.15505,51,-526.299
18,335,5,2,5,4,1,-3.87529,54,-556.807
19,335,5,3,5,6,1,-4.73365,51,-525.147
