"pe","ala"
-4.01423,2
-4.03083,2
-4.20228,3
-3.87667,2
-4.18052,3
-4.22069,3
-4.19752,3
-3.83578,1
-4.11595,3
-4.16052,2
-4.21121,3
-4.03561,3
-4.03479,2
-3.93948,3
-4.22684,3
-3.82731,2
-4.04394,2
-3.99137,2
-4.04809,2
-3.87477,2
-3.97965,2
-4.15566,3
-4.09137,2
-4.04228,3
-4.4205,3
-4.20417,2
-4.32981,2
-4.32001,3
-4.18608,3
-4.07972,3
-4.0701,2
-4.21995,2
-3.88691,2
-4.15158,3
-4.09649,3
-4.14527,2
-4.00139,3
-4.23297,3
-4.12523,2
-3.95728,2
-4.27955,3
-3.95474,2
-4.09097,3
-4.00065,2
-3.91936,2
-3.90634,3
-4.16544,2
-3.87455,2
-4.09849,3
-4.07496,3
-4.1031,2
-4.14094,2
-3.98666,2
-4.31583,3
-3.81455,2
-3.91068,2
-4.15382,3
-4.2884,3
-4.07897,2
-4.09628,3
-3.94805,2
-4.03563,2
-3.99603,2
-3.99243,2
-4.01921,2
-3.78529,2
-4.10887,3
-4.24047,3
-4.13884,3
-4.07339,3
-4.01579,2
-3.73194,2
-4.02844,2
-4.0583,2
-3.94699,2
-4.24551,2
-4.16008,2
-4.3122,3
-4.00013,2
-3.88265,2
-4.03679,2
-3.77837,2
-3.92968,2
-4.19908,2
-4.08114,2
-3.99983,2
-4.19586,3
-4.0935,3
-3.95549,2
-4.13911,3
-4.30224,3
-4.22148,2
-3.98575,2
-3.95025,2
-4.03166,2
-4.19611,2
-4.02871,3
-4.03547,3
-4.27419,3
-3.97126,2
-3.93007,2
-4.11051,3
-3.9795,1
-4.13242,2
-3.80382,2
-3.98071,2
-3.97514,2
-4.22842,3
-4.25719,3
-4.21297,2
-4.168,3
-3.91831,2
-4.04287,3
-3.89461,1
-4.07267,3
-4.08942,2
-4.05513,2
-3.95616,3
-4.18446,2
-4.10336,3
-3.90445,2
-4.01054,3
-4.08052,2
-4.04356,3
-4.04191,2
-4.24463,2
-3.94556,2
-4.24493,3
-3.75001,2
-4.07692,2
-4.27967,3
-3.9577,2
-4.25038,3
-4.17225,3
-4.16946,2
-4.11142,3
-3.87954,2
-4.17058,3
-4.07875,2
-3.90593,2
-4.12777,3
-4.17316,3
-4.0727,3
-3.94628,2
-4.0626,2
-4.15823,2
-3.83534,2
-3.92209,3
-4.12635,3
-3.98336,2
-4.19119,3
-4.01279,2
-4.18129,3
-4.0642,3
-4.05788,2
-4.04568,2
-4.10414,3
-4.08587,3
-4.02,2
-3.98629,2
-4.08847,3
-4.07457,3
-4.241,3
-4.33861,3
-4.1271,2
-3.92755,2
-4.21627,2
-4.02716,2
-4.08821,2
-3.93608,2
-4.23367,3
-3.84207,2
-4.10996,3
-4.03233,2
-4.23658,2
-4.07625,2
-4.00165,3
-4.1803,3
-3.99015,3
-3.94791,2
-4.23207,3
-4.10737,2
-4.17813,3
-4.14805,3
-4.03449,3
-3.86112,2
-4.13305,2
-4.04827,3
-4.18237,2
-4.08658,3
-4.11989,2
-4.00486,2
-4.11763,3
-4.00809,2
-3.99846,3
-3.99922,2
-3.96195,2
-4.08579,2
-4.30198,3
-4.07654,3
-4.02369,3
-3.76035,2
-4.00233,2
-3.95318,1
-4.05806,2
-4.0744,2
-3.90457,3
-4.16012,2
-3.9515,2
-4.0739,2
-4.0817,3
-4.00111,3
-4.25197,2
-3.86829,2
-4.18803,3
-3.76954,1
-4.25683,3
-4.06824,3
-4.02726,1
-4.13601,2
-3.99829,2
-4.06726,3
-4.096,2
-4.26139,3
-4.05677,2
-4.17976,3
-4.14508,2
-4.00173,2
-4.24388,3
-4.00686,2
-3.98389,2
-4.07627,2
-4.01367,3
-3.82817,2
-3.94785,3
-3.98088,1
-3.98945,1
-4.01163,2
-4.1823,3
-3.81407,2
-3.84367,2
-3.94803,3
-3.8679,2
-4.12327,2
-3.95154,2
-4.1222,2
-3.82953,2
-4.12422,2
-4.08793,2
-3.96351,2
-3.91505,2
-3.8815,2
-4.16695,3
-4.12276,2
-3.86349,2
-4.14978,3
-4.18201,3
-3.8539,2
-4.10353,3
-4.14173,3
-4.16721,3
-4.15713,3
-4.25943,3
-4.20226,2
-4.10151,3
-4.20872,3
-4.26412,3
-3.86054,2
-3.95769,2
-4.33248,3
-4.17431,3
-4.16248,3
-3.93893,2
-4.33316,3
-3.91551,2
-3.84175,2
-4.09687,2
-4.09473,3
-3.91843,2
-4.05794,2
-4.2254,3
