"pe","ala"
-4.63336,2
-3.61166,2
-3.25744,2
-3.39711,0
-3.92835,3
-4.35455,3
-3.83018,1
-3.24603,2
-4.08424,3
-2.92839,1
-4.52104,3
-4.67056,3
-3.74206,3
-3.45095,3
-3.71098,1
-3.4438,2
-3.86355,2
-4.18785,2
-2.98747,1
-3.95299,2
-3.9804,2
-4.28221,3
-2.99426,2
-4.10184,3
-3.75749,1
-3.56819,2
-3.44548,1
-4.28756,3
-3.92835,3
-3.87847,3
-4.00119,1
-4.68527,2
-3.03193,1
-3.97515,2
-3.99928,3
-4.03865,2
-3.54081,3
-4.14267,3
-4.79565,2
-3.29824,0
-4.48736,3
-3.60828,2
-4.15783,3
-4.685,2
-3.89853,2
-2.52013,0
-3.54782,2
-3.5036,2
-3.27704,1
-3.84085,3
-3.71398,2
-3.95629,2
-4.21173,2
-4.25448,3
-3.49725,1
-4.27603,2
-3.48314,3
-4.98061,3
-4.23868,2
-4.29031,3
-3.53801,2
-3.69251,2
-4.04556,2
-4.54435,2
-4.25211,2
-3.6632,2
-4.16594,3
-4.17149,3
-4.12783,3
-3.78472,3
-3.7142,2
-4.02545,2
-4.83852,2
-3.897,2
-4.04755,2
-3.75047,2
-4.10157,2
-5.04591,3
-4.22281,2
-3.30774,2
-3.8729,2
-3.02971,0
-3.87588,2
-3.41731,1
-3.17388,1
-4.70613,2
-4.87532,3
-3.69767,3
-3.28688,2
-3.80756,3
-4.21387,3
-4.01566,2
-4.1633,2
-3.94865,2
-3.57163,2
-3.32369,0
-3.39793,3
-4.30871,3
-4.94604,3
-3.77038,2
-3.70134,2
-4.31213,3
-3.82825,1
-4.62604,2
-3.68746,2
-3.70829,2
-3.10386,2
-3.8849,3
-4.42459,3
-3.70499,2
-3.91644,3
-3.75217,2
-4.67063,3
-3.78419,2
-3.92578,2
-3.46982,1
-4.37475,2
-4.46751,3
-3.64987,2
-4.28592,3
-4.42387,2
-4.79829,3
-4.39414,2
-3.94672,1
-4.21838,2
-4.06718,2
-3.61279,2
-3.20226,1
-4.71664,1
-3.50812,1
-3.03035,2
-3.88582,2
-4.50009,3
-4.04002,2
-3.54022,1
-4.02084,3
-3.43405,2
-3.60192,1
-4.57597,2
-3.4231,2
-4.18171,3
-4.64289,3
-3.98322,3
-3.15959,2
-3.49427,1
-4.49009,2
-3.67918,2
-2.97073,2
-4.70818,3
-3.2683,1
-3.7502,3
-3.60033,2
